Name,Last Updated,Tracked,Actions,,
p4sjpxb6-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'p4sjpxb6-umshini' or 
q0u1oqqy-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'q0u1oqqy-umshini' or 
nqcq6d0u-861,6/4/2020 21:11,1,,, TVM_SERIAL like 'nqcq6d0u-861' or 
o9fcbfwz-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'o9fcbfwz-umshini' or 
o20jy69p-1233,6/4/2020 21:11,1,,, TVM_SERIAL like 'o20jy69p-1233' or 
ogx7fsg5-849,6/4/2020 21:11,1,,, TVM_SERIAL like 'ogx7fsg5-849' or 
nfkrn60g-1182,6/4/2020 21:11,1,,, TVM_SERIAL like 'nfkrn60g-1182' or 
nlvsczvs-81,6/4/2020 21:11,1,,, TVM_SERIAL like 'nlvsczvs-81' or 
nfeapt4s-1410,6/4/2020 21:11,1,,, TVM_SERIAL like 'nfeapt4s-1410' or 
o27c0c7b-944,6/4/2020 21:11,1,,, TVM_SERIAL like 'o27c0c7b-944' or 
nn3gqsll-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'nn3gqsll-umshini' or 
lwhlhhu3-1401,6/4/2020 21:11,1,,, TVM_SERIAL like 'lwhlhhu3-1401' or 
momeind9-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'momeind9-umshini' or 
mcuw42ci-881,6/4/2020 21:11,1,,, TVM_SERIAL like 'mcuw42ci-881' or 
lm5pyso0-1512,6/4/2020 21:11,1,,, TVM_SERIAL like 'lm5pyso0-1512' or 
m8k146f0-1113,6/4/2020 21:11,1,,, TVM_SERIAL like 'm8k146f0-1113' or 
n2ga5ts3-1201,6/4/2020 21:11,1,,, TVM_SERIAL like 'n2ga5ts3-1201' or 
ncjamsys-838,6/4/2020 21:11,1,,, TVM_SERIAL like 'ncjamsys-838' or 
m3m830qy-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'm3m830qy-umshini' or 
m2ucu6o9-859,6/4/2020 21:11,1,,, TVM_SERIAL like 'm2ucu6o9-859' or 
mur7bcp6-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'mur7bcp6-umshini' or 
mupveuyn-1101,6/4/2020 21:11,1,,, TVM_SERIAL like 'mupveuyn-1101' or 
lf9z4ofb-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'lf9z4ofb-umshini' or 
lj8ki9sc-1036,6/4/2020 21:11,1,,, TVM_SERIAL like 'lj8ki9sc-1036' or 
kmqxmcr5-1177,6/4/2020 21:11,1,,, TVM_SERIAL like 'kmqxmcr5-1177' or 
kxosv2j5-1238,6/4/2020 21:11,1,,, TVM_SERIAL like 'kxosv2j5-1238' or 
ljkml8vy-868,6/4/2020 21:11,1,,, TVM_SERIAL like 'ljkml8vy-868' or 
lgd03b6t-827,6/4/2020 21:11,1,,, TVM_SERIAL like 'lgd03b6t-827' or 
l6bbd2f1-954,6/4/2020 21:11,1,,, TVM_SERIAL like 'l6bbd2f1-954' or 
kwrch16p-881,6/4/2020 21:11,1,,, TVM_SERIAL like 'kwrch16p-881' or 
l6cpnx3a-1238,6/4/2020 21:11,1,,, TVM_SERIAL like 'l6cpnx3a-1238' or 
kst1bg9q-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'kst1bg9q-umshini' or 
la0ez6pj-1274,6/4/2020 21:11,1,,, TVM_SERIAL like 'la0ez6pj-1274' or 
jujx7i6e-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'jujx7i6e-umshini' or 
kf39sn5z-1245,6/4/2020 21:11,1,,, TVM_SERIAL like 'kf39sn5z-1245' or 
k4ycqyfi-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'k4ycqyfi-umshini' or 
imnxfmeu-1227,6/4/2020 21:11,1,,, TVM_SERIAL like 'imnxfmeu-1227' or 
ize4scoo-1036,6/4/2020 21:11,1,,, TVM_SERIAL like 'ize4scoo-1036' or 
itcm34h7-779,6/4/2020 21:11,1,,, TVM_SERIAL like 'itcm34h7-779' or 
ittumdcm-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'ittumdcm-umshini' or 
klupclv9-umshini,6/4/2020 21:11,1,,, TVM_SERIAL like 'klupclv9-umshini' or 
