Name,Last Updated,Tracked,Actions,,
8vg10308-1101,6/15/2020 20:21,1,,, TVM_SERIAL like '8vg10308-1101' or 
88xg2o4i-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '88xg2o4i-umshini' or 
7mn8a37b-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '7mn8a37b-umshini' or 
8h0gw9ve-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '8h0gw9ve-umshini' or 
6p88e4ul-879,6/15/2020 20:21,1,,, TVM_SERIAL like '6p88e4ul-879' or 
744ygco7-915,6/15/2020 20:21,1,,, TVM_SERIAL like '744ygco7-915' or 
855s8atk-906,6/15/2020 20:21,1,,, TVM_SERIAL like '855s8atk-906' or 
8pphv5vh-1477,6/15/2020 20:21,1,,, TVM_SERIAL like '8pphv5vh-1477' or 
7o3u72ge-1201,6/15/2020 20:21,1,,, TVM_SERIAL like '7o3u72ge-1201' or 
7k439uk1-1719,6/15/2020 20:21,,,, TVM_SERIAL like '7k439uk1-1719' or 
6ul3hiew-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '6ul3hiew-umshini' or 
8ijitv3a-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '8ijitv3a-umshini' or 
6bvz88xu-1334,6/15/2020 20:21,1,,, TVM_SERIAL like '6bvz88xu-1334' or 
6l6gsku5-609,6/15/2020 20:21,1,,, TVM_SERIAL like '6l6gsku5-609' or 
6ej7vyue-1144,6/15/2020 20:21,1,,, TVM_SERIAL like '6ej7vyue-1144' or 
600lbd4q-40,6/15/2020 20:21,1,,, TVM_SERIAL like '600lbd4q-40' or 
5bssl46i-1360,6/15/2020 20:21,1,,, TVM_SERIAL like '5bssl46i-1360' or 
6a9iybdx-861,6/15/2020 20:21,1,,, TVM_SERIAL like '6a9iybdx-861' or 
6bka73b7-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '6bka73b7-umshini' or 
56k6qe5d-umshini,6/15/2020 20:21,1,,, TVM_SERIAL like '56k6qe5d-umshini' or 
5cg0aos8-1331,6/15/2020 20:21,1,,, TVM_SERIAL like '5cg0aos8-1331' or 
6mthnb92-952,6/15/2020 20:21,1,,, TVM_SERIAL like '6mthnb92-952' or 
40wqrouh-26,6/15/2020 20:21,1,,, TVM_SERIAL like '40wqrouh-26' or 
53na13ab-1685,6/15/2020 20:21,,,, TVM_SERIAL like '53na13ab-1685' or 
