Name,Last Updated,Tracked,Actions,,
3f2134a0-1280,5/26/2020 18:47,1,,, TVM_SERIAL like '3f2134a0-1280' or 
3ajw1bov-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '3ajw1bov-umshini' or 
3e763x2s-1040,5/26/2020 18:47,1,,, TVM_SERIAL like '3e763x2s-1040' or 
2y1ued7c-40,5/26/2020 18:47,1,,, TVM_SERIAL like '2y1ued7c-40' or 
2voo2m4d-1233,5/26/2020 18:47,1,,, TVM_SERIAL like '2voo2m4d-1233' or 
31fhkgdw-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '31fhkgdw-umshini' or 
2uguf55d-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '2uguf55d-umshini' or 
2moqazgf-1417,5/26/2020 18:47,1,,, TVM_SERIAL like '2moqazgf-1417' or 
28v2s570-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '28v2s570-umshini' or 
325ie5xx-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '325ie5xx-umshini' or 
147jb0bd-1233,5/26/2020 18:47,1,,, TVM_SERIAL like '147jb0bd-1233' or 
24hac0it-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '24hac0it-umshini' or 
1l86i0qg-1144,5/26/2020 18:47,1,,, TVM_SERIAL like '1l86i0qg-1144' or 
146kq6ce-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '146kq6ce-umshini' or 
22w0ebu9-1227,5/26/2020 18:47,1,,, TVM_SERIAL like '22w0ebu9-1227' or 
1nvzy0ci-1226,5/26/2020 18:47,1,,, TVM_SERIAL like '1nvzy0ci-1226' or 
1l9gzl34-1444,5/26/2020 18:47,1,,, TVM_SERIAL like '1l9gzl34-1444' or 
259f46v8-1433,5/26/2020 18:47,1,,, TVM_SERIAL like '259f46v8-1433' or 
17p94w7i-113,5/26/2020 18:47,1,,, TVM_SERIAL like '17p94w7i-113' or 
1013d195-1040,5/26/2020 18:47,1,,, TVM_SERIAL like '1013d195-1040' or 
0t8dsvvo-1101,5/26/2020 18:47,1,,, TVM_SERIAL like '0t8dsvvo-1101' or 
0irp6rop-1334,5/26/2020 18:47,1,,, TVM_SERIAL like '0irp6rop-1334' or 
0geqssdq-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '0geqssdq-umshini' or 
0v4l53y0-,5/26/2020 18:47,1,,, TVM_SERIAL like '0v4l53y0-' or 
02ltg795-799,5/26/2020 18:47,1,,, TVM_SERIAL like '02ltg795-799' or 
00nd1sh0-1011,5/26/2020 18:47,1,,, TVM_SERIAL like '00nd1sh0-1011' or 
0cqyhub2-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like '0cqyhub2-umshini' or 
0cos9s0w-1011,5/26/2020 18:47,1,,, TVM_SERIAL like '0cos9s0w-1011' or 
ztnpplf1-263,5/26/2020 18:47,1,,, TVM_SERIAL like 'ztnpplf1-263' or 
z0ugafvn-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'z0ugafvn-umshini' or 
zywldi4x-1433,5/26/2020 18:47,1,,, TVM_SERIAL like 'zywldi4x-1433' or 
ytcsmf25-952,5/26/2020 18:47,1,,, TVM_SERIAL like 'ytcsmf25-952' or 
vopuhgpv-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'vopuhgpv-umshini' or 
wvnvuaqy-794,5/26/2020 18:47,1,,, TVM_SERIAL like 'wvnvuaqy-794' or 
vrumwzn8-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'vrumwzn8-umshini' or 
w5qd0t7e-1006,5/26/2020 18:47,1,,, TVM_SERIAL like 'w5qd0t7e-1006' or 
y9050cnj-1226,5/26/2020 18:47,1,,, TVM_SERIAL like 'y9050cnj-1226' or 
xpdo4avo-905,5/26/2020 18:47,1,,, TVM_SERIAL like 'xpdo4avo-905' or 
yh0a1i6q-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'yh0a1i6q-umshini' or 
vq2fqhey-891,5/26/2020 18:47,1,,, TVM_SERIAL like 'vq2fqhey-891' or 
wi93c13a-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'wi93c13a-umshini' or 
vt1yopow-944,5/26/2020 18:47,1,,, TVM_SERIAL like 'vt1yopow-944' or 
whs9gfrg-1077,5/26/2020 18:47,1,,, TVM_SERIAL like 'whs9gfrg-1077' or 
xxrf6euk-905,5/26/2020 18:47,1,,, TVM_SERIAL like 'xxrf6euk-905' or 
wx818oxu-1233,5/26/2020 18:47,1,,, TVM_SERIAL like 'wx818oxu-1233' or 
w7nb8lb9-845,5/26/2020 18:47,1,,, TVM_SERIAL like 'w7nb8lb9-845' or 
xvn9y213-40,5/26/2020 18:47,1,,, TVM_SERIAL like 'xvn9y213-40' or 
vw9eircx-1418,5/26/2020 18:47,1,,, TVM_SERIAL like 'vw9eircx-1418' or 
x7mwo5pp-umshini,5/26/2020 18:47,1,,, TVM_SERIAL like 'x7mwo5pp-umshini' or 
weoojtlh-862,5/26/2020 18:47,1,,, TVM_SERIAL like 'weoojtlh-862' or 
rihr5bqr-1331,5/26/2020 18:47,1,,, TVM_SERIAL like 'rihr5bqr-1331' or 
sjgzfnex-881,5/26/2020 18:47,1,,, TVM_SERIAL like 'sjgzfnex-881' or 
snwywtcz-799,5/26/2020 18:47,1,,, TVM_SERIAL like 'snwywtcz-799' or 
